0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
42.0,14.0,2293.0,82.0,64.0,65.0,327.0,5112.0,19.0,420.0,2921.0,83.0,346.0,10.0,70.0,2508.0,4.0,230.0,2114.0,168.0,180.0,1283.0,1134.0,268.0,8.0,3.0,384.0,149.0,80.0,23.0
72.0,24.0,2182.0,35.0,70.0,45.0,341.0,4712.0,14.0,373.0,2551.0,59.0,431.0,10.0,59.0,1326.0,6.0,171.0,2075.0,128.0,94.0,970.0,1026.0,355.0,14.0,4.0,411.0,125.0,88.0,19.0
56.0,27.0,2534.0,37.0,56.0,44.0,414.0,5209.0,15.0,493.0,2709.0,84.0,537.0,7.0,71.0,1569.0,5.0,199.0,2288.0,243.0,96.0,1317.0,1174.0,478.0,11.0,12.0,428.0,155.0,67.0,24.0
43.0,30.0,2092.0,15.0,46.0,53.0,395.0,4768.0,22.0,379.0,2620.0,74.0,480.0,5.0,61.0,1452.0,7.0,208.0,2126.0,166.0,172.0,866.0,970.0,285.0,16.0,10.0,336.0,139.0,57.0,27.0
64.0,24.0,3052.0,26.0,58.0,45.0,380.0,4715.0,12.0,382.0,2463.0,68.0,406.0,8.0,65.0,1265.0,5.0,212.0,2284.0,165.0,195.0,1368.0,1055.0,327.0,16.0,9.0,369.0,136.0,67.0,22.0
52.0,17.0,2038.0,10.0,77.0,44.0,370.0,4412.0,14.0,411.0,2429.0,72.0,311.0,5.0,65.0,1198.0,5.0,214.0,2127.0,285.0,197.0,1318.0,995.0,299.0,10.0,3.0,337.0,104.0,55.0,22.0
42.0,24.0,1837.0,30.0,66.0,51.0,343.0,4263.0,15.0,342.0,2358.0,52.0,340.0,4.0,63.0,1085.0,1.0,187.0,2011.0,163.0,176.0,1146.0,3064.0,294.0,15.0,7.0,345.0,95.0,61.0,21.0
50.0,24.0,2259.0,33.0,55.0,47.0,413.0,5110.0,18.0,463.0,2686.0,59.0,453.0,4.0,66.0,1232.0,4.0,186.0,2227.0,196.0,224.0,1085.0,1396.0,325.0,19.0,6.0,400.0,118.0,114.0,30.0
52.0,20.0,2148.0,21.0,53.0,44.0,361.0,4630.0,21.0,409.0,2387.0,46.0,400.0,6.0,49.0,1261.0,4.0,146.0,2125.0,197.0,121.0,1025.0,1341.0,304.0,27.0,4.0,340.0,130.0,73.0,19.0
41.0,35.0,2140.0,19.0,66.0,67.0,357.0,5058.0,13.0,404.0,2783.0,47.0,401.0,2.0,61.0,1464.0,2.0,159.0,2191.0,207.0,98.0,869.0,1334.0,311.0,12.0,8.0,362.0,173.0,68.0,21.0
63.0,28.0,2348.0,14.0,73.0,51.0,488.0,5521.0,12.0,390.0,2897.0,66.0,470.0,4.0,64.0,1238.0,1.0,243.0,2073.0,194.0,138.0,1415.0,4533.0,668.0,18.0,7.0,393.0,155.0,57.0,19.0
81.0,34.0,2128.0,24.0,67.0,53.0,438.0,4867.0,21.0,430.0,2887.0,70.0,457.0,6.0,71.0,1191.0,5.0,501.0,1901.0,164.0,286.0,953.0,1655.0,324.0,27.0,6.0,389.0,125.0,66.0,19.0
69.0,19.0,2035.0,11.0,64.0,50.0,451.0,5154.0,13.0,452.0,3017.0,81.0,433.0,7.0,63.0,1329.0,10.0,535.0,2085.0,154.0,219.0,1061.0,1733.0,463.0,24.0,5.0,363.0,151.0,52.0,11.0
71.0,30.0,2023.0,19.0,72.0,45.0,406.0,4601.0,15.0,478.0,2963.0,65.0,412.0,7.0,73.0,1329.0,5.0,567.0,1963.0,165.0,276.0,945.0,1215.0,315.0,22.0,4.0,404.0,171.0,92.0,20.0
95.0,31.0,2072.0,13.0,75.0,49.0,412.0,4649.0,22.0,907.0,2762.0,67.0,393.0,5.0,135.0,2140.0,8.0,808.0,1946.0,131.0,349.0,929.0,1111.0,313.0,33.0,6.0,357.0,159.0,75.0,31.0
128.0,31.0,2200.0,12.0,95.0,64.0,421.0,4864.0,21.0,517.0,2489.0,88.0,444.0,12.0,85.0,1880.0,6.0,1380.0,2018.0,196.0,124.0,907.0,1179.0,227.0,19.0,18.0,273.0,112.0,75.0,22.0
112.0,15.0,2706.0,34.0,76.0,57.0,478.0,5973.0,21.0,564.0,2981.0,98.0,583.0,5.0,86.0,2023.0,1.0,1463.0,2157.0,206.0,127.0,1128.0,1434.0,326.0,46.0,11.0,373.0,190.0,114.0,28.0
175.0,34.0,2157.0,37.0,58.0,57.0,347.0,5432.0,23.0,452.0,2930.0,74.0,519.0,3.0,84.0,1912.0,7.0,1114.0,2126.0,178.0,203.0,891.0,1258.0,301.0,21.0,4.0,333.0,158.0,61.0,28.0
